name,age
"Kelly, Mr. James",34.5
"Wilkes, Mrs. James (Ellen Needs)",47
"Myles, Mr. Thomas Francis",62
"Wirz, Mr. Albert",27
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",22
"Svensson, Mr. Johan Cervin",14
"Connolly, Miss. Kate",30
"Caldwell, Mr. Albert Francis",26
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18
"Davies, Mr. John Samuel",21
"Ilieff, Mr. Ylio",
"Jones, Mr. Charles Cresson",46
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",23
"Howard, Mr. Benjamin",63
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",24
"Keane, Mr. Daniel",35
"Assaf, Mr. Gerios",21
"Ilmakangas, Miss. Ida Livija",27
"Assaf Khalil, Mrs. Mariana (Miriam"")""",45
"Rothschild, Mr. Martin",55
"Olsen, Master. Artur Karl",9
"Flegenheim, Mrs. Alfred (Antoinette)",
"Williams, Mr. Richard Norris II",21
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",48
"Robins, Mr. Alexander A",50
"Ostby, Miss. Helene Ragnhild",22
"Daher, Mr. Shedid",22.5
"Brady, Mr. John Bertram",41
"Samaan, Mr. Elias",
"Louch, Mr. Charles Alexander",50
"Jefferys, Mr. Clifford Thomas",24
"Dean, Mrs. Bertram (Eva Georgetta Light)",33
"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",
"Mock, Mr. Philipp Edmund",30
"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",18.5
"Roth, Miss. Sarah A",
"Cacic, Miss. Manda",21
"Sap, Mr. Julius",25
"Hee, Mr. Ling",
"Karun, Mr. Franz",39
"Franklin, Mr. Thomas Parham",
"Goldsmith, Mr. Nathan",41
"Corbett, Mrs. Walter H (Irene Colvin)",30
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",45
"Peltomaki, Mr. Nikolai Johannes",25
"Chevre, Mr. Paul Romaine",45
"Shaughnessy, Mr. Patrick",
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60
"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",36
"Smith, Mr. Lucien Philip",24
"Pulbaum, Mr. Franz",27
"Hocking, Miss. Ellen Nellie""""",20
"Fortune, Miss. Ethel Flora",28
"Mangiavacchi, Mr. Serafino Emilio",
"Rice, Master. Albert",10
"Cor, Mr. Bartol",35
"Abelseth, Mr. Olaus Jorgensen",25
"Davison, Mr. Thomas Henry",
"Chaudanson, Miss. Victorine",36
"Dika, Mr. Mirko",17
"McCrae, Mr. Arthur Gordon",32
"Bjorklund, Mr. Ernst Herbert",18
"Bradley, Miss. Bridget Delia",22
"Ryerson, Master. John Borie",13
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",
"Burns, Miss. Mary Delia",18
"Moore, Mr. Clarence Bloomfield",47
"Tucker, Mr. Gilbert Milligan Jr",31
"Fortune, Mrs. Mark (Mary McDougald)",60
"Mulvihill, Miss. Bertha E",24
"Minkoff, Mr. Lazar",21
"Nieminen, Miss. Manta Josefina",29
"Ovies y Rodriguez, Mr. Servando",28.5
"Geiger, Miss. Amalie",35
"Keeping, Mr. Edwin",32.5
"Miles, Mr. Frank",
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",55
"Aldworth, Mr. Charles Augustus",30
"Doyle, Miss. Elizabeth",24
"Boulos, Master. Akar",6
"Straus, Mr. Isidor",67
"Case, Mr. Howard Brown",49
"Demetri, Mr. Marinko",
"Lamb, Mr. John Joseph",
"Khalil, Mr. Betros",
"Barry, Miss. Julia",27
"Badman, Miss. Emily Louisa",18
"O'Donoghue, Ms. Bridget",
"Wells, Master. Ralph Lester",2
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",22
"Pedersen, Mr. Olaf",
"Davidson, Mrs. Thornton (Orian Hays)",27
"Guest, Mr. Robert",
"Birnbaum, Mr. Jakob",25
"Tenglin, Mr. Gunnar Isidor",25
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76
"Makinen, Mr. Kalle Edvard",29
"Braf, Miss. Elin Ester Maria",20
"Nancarrow, Mr. William Henry",33
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",43
"Weisz, Mr. Leopold",27
"Foley, Mr. William",
"Johansson Palmquist, Mr. Oskar Leander",26
"Thomas, Mrs. Alexander (Thamine Thelma"")""",16
"Holthen, Mr. Johan Martin",28
"Buckley, Mr. Daniel",21
"Ryan, Mr. Edward",
"Willer, Mr. Aaron (Abi Weller"")""",
"Swane, Mr. George",18.5
"Stanton, Mr. Samuel Ward",41
"Shine, Miss. Ellen Natalia",
"Evans, Miss. Edith Corse",36
"Buckley, Miss. Katherine",18.5
"Straus, Mrs. Isidor (Rosalie Ida Blun)",63
"Chronopoulos, Mr. Demetrios",18
"Thomas, Mr. John",
"Sandstrom, Miss. Beatrice Irene",1
"Beattie, Mr. Thomson",36
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29
"Watt, Miss. Bertha J",12
"Kiernan, Mr. John",
"Schabert, Mrs. Paul (Emma Mock)",35
"Carver, Mr. Alfred John",28
"Kennedy, Mr. John",
"Cribb, Miss. Laura Alice",17
"Brobeck, Mr. Karl Rudolf",22
"McCoy, Miss. Alicia",
"Bowenur, Mr. Solomon",42
"Petersen, Mr. Marius",24
"Spinner, Mr. Henry John",32
"Gracie, Col. Archibald IV",53
"Lefebre, Mrs. Frank (Frances)",
"Thomas, Mr. Charles P",
"Dintcheff, Mr. Valtcho",43
